132,151,283,151,283,177,132,177,unipharm
289,151,449,151,449,177,289,177,pharmacy
179,181,224,181,224,206,179,206,b12
290,181,323,181,323,206,290,206,ss
327,181,392,181,392,206,327,206,1514
230,183,288,183,288,206,230,206,jalan
184,208,251,208,251,231,184,231,47500
252,206,334,206,334,235,252,235,subang
333,209,388,209,388,236,333,236,jaya
142,233,177,233,177,254,142,254,d3
174,233,229,233,229,256,174,256,5635
232,233,285,233,285,256,232,256,1892
284,233,332,233,332,254,284,254,hori
329,233,382,233,382,256,329,256,5611
386,233,439,233,439,256,386,256,6279
159,267,207,267,207,290,159,290,csi
209,265,259,265,259,295,209,295,reg
269,267,424,267,424,290,269,290,001123368116
200,306,260,306,260,336,200,336,tax
261,306,381,306,381,336,261,336,invoice
42,348,95,348,95,372,42,372,cbh
116,348,204,348,204,372,116,372,212039
300,348,429,348,429,374,300,374,051apr12018
432,348,463,348,463,369,432,369,iri
460,348,491,348,491,370,460,370,49
492,349,518,349,518,369,492,369,ii
522,351,557,351,557,374,522,374,pm
42,383,133,383,133,406,42,406,cashier
152,386,253,386,253,409,152,409,manager
99,413,236,413,236,438,99,438,codeadesc
350,412,436,412,436,440,350,440,oprice
485,413,544,413,544,436,485,436,total
39,413,87,413,87,444,39,444,qty
553,448,586,448,586,471,553,471,isr
99,450,185,450,185,473,99,473,347959
366,450,384,450,384,471,366,471,22
388,450,419,450,419,473,388,473,36
492,450,545,450,545,473,492,473,472
52,452,69,452,69,471,52,471,i
99,477,229,477,229,502,99,502,dressing
233,477,301,477,301,502,233,502,sets
304,477,320,477,320,498,304,498,i
326,477,431,477,431,502,326,502,forcep
553,509,586,509,586,532,553,532,sr
99,511,159,511,159,533,99,533,2266
353,511,384,511,384,533,353,533,18
388,511,417,511,417,533,388,533,you
479,511,510,511,510,533,479,533,ies
512,511,545,511,545,533,512,533,waza
55,514,66,514,66,530,55,530,ill
100,536,261,536,261,560,100,560,burnshield
263,536,404,536,404,560,263,560,hydrogeli
406,536,473,536,473,560,406,560,25ml
57,574,73,574,73,596,57,596,3
102,574,162,574,162,602,102,602,type
324,574,419,574,419,599,324,599,subtotal
477,574,510,574,510,597,477,597,23
277,576,293,576,293,596,277,596,izi
514,576,545,576,545,597,514,597,49
99,606,138,606,138,631,99,631,5v
40,608,95,608,95,631,40,631,cst
514,608,542,608,542,629,514,629,41
495,611,507,611,507,628,495,628,ii
41,635,151,635,151,667,41,667,rounding
156,638,196,638,196,665,156,665,adi
492,638,510,638,510,660,492,660,d
514,638,545,638,545,661,514,661,do
208,675,263,675,263,700,208,700,gst
42,677,100,677,100,702,42,702,total
102,677,204,677,204,702,102,702,inclusive
477,677,508,677,508,700,477,700,24
512,677,544,677,544,700,512,700,90
40,709,111,709,111,734,40,734,cash
512,709,544,709,544,732,512,732,dig
39,739,133,739,133,770,39,770,change
516,741,544,741,544,762,516,762,red
40,780,95,780,95,802,40,802,csi
96,779,208,779,208,805,96,805,summary
411,801,463,801,463,823,411,823,clsi
469,801,545,801,545,828,469,828,miri
294,805,369,805,369,833,294,833,myri
40,807,103,807,103,831,40,831,code
201,807,290,807,290,828,201,828,amount
40,840,78,840,78,865,40,865,sr
82,840,120,840,120,865,82,865,6v
302,840,333,840,333,865,302,865,23
337,840,369,840,369,863,337,863,49
492,842,540,842,540,863,492,863,14
40,872,100,872,100,897,40,897,total
302,872,333,872,333,895,302,895,23
337,872,369,872,369,895,337,895,49
492,872,513,872,513,893,492,893,iil
512,872,540,872,540,892,512,892,4
163,894,227,894,227,935,163,935,aud
18,899,83,899,83,945,18,945,bun
109,901,160,901,160,947,109,947,tr
215,922,304,922,304,953,215,953,thank
311,929,369,929,369,952,311,952,you
158,957,254,957,254,989,158,989,please
342,955,424,955,424,992,342,992,again
258,963,337,963,337,986,258,986,come
118,996,210,996,210,1025,118,1025,goods
215,998,273,998,273,1023,215,1023,sold
336,998,434,998,434,1023,336,1023,returna
279,1002,330,1002,330,1021,279,1021,non
